Triaged,Archive,Address,Current URL / Directory,Title,Description,New URL (update only if changed),Redirect ONLY URL
x,YES,https://developers.chrome.com/en/docs/extensions/,/en/docs/extensions/,Extensions,"Extensions are software programs built on web technologies (such as HTML, CSS, and JavaScript) that enable users to customize the Chrome browsing experience.",,
x,,https://developers.chrome.com/en/docs/extensions/migrating/,/en/docs/extensions/migrating/,Migrate to Manifest V3,A guide to converting Manifest V2 extensions to Manifest V3 extensions.,/docs/extensions/develop/migrate/,
x,,https://developers.chrome.com/en/docs/extensions/migrating/api-calls/,/en/docs/extensions/migrating/api-calls/,Update your code,The first of three sections describing changes needed for code that is not part of the extension service worker.,/docs/extensions/develop/migrate/api-calls/,
x,,https://developers.chrome.com/en/docs/extensions/migrating/blocking-web-requests/,/en/docs/extensions/migrating/blocking-web-requests/,Replace blocking web request listeners,The second of three sections describing changes needed for code that is not part of the extension service worker.,/docs/extensions/develop/migrate/blocking-web-requests/,
x,,https://developers.chrome.com/en/docs/extensions/migrating/checklist/,/en/docs/extensions/migrating/checklist/,Manifest V3 migration checklist,A quick reference for upgrading your extensions from Manifest V2 to Manifest V3.,/docs/extensions/develop/migrate/checklist/,
x,,https://developers.chrome.com/en/docs/extensions/migrating/improve-security/,/en/docs/extensions/migrating/improve-security/,Improve extension security,The last of three sections describing changes needed for code that is not part of the extension service worker.,/docs/extensions/develop/migrate/improve-security/,
x,,https://developers.chrome.com/en/docs/extensions/migrating/known-issues/,/en/docs/extensions/migrating/known-issues/,Known issues when migrating to Manifest V3,,/docs/extensions/develop/migrate/known-issues/,
x,,https://developers.chrome.com/en/docs/extensions/migrating/manifest/,/en/docs/extensions/migrating/manifest/,Update the manifest,The manifest.json file requires a slightly different format for Manifest V3 than for Manifest V2.,/docs/extensions/develop/migrate/manifest/,
x,,https://developers.chrome.com/en/docs/extensions/migrating/mv2-sunset/,/en/docs/extensions/migrating/mv2-sunset/,Manifest V2 support timeline,Details of the Manifest V2 phase-out and end of life.,/docs/extensions/develop/migrate/mv2-deprecation-timeline/,
x,,https://developers.chrome.com/en/docs/extensions/migrating/publish-mv3/,/en/docs/extensions/migrating/publish-mv3/,Publish your extension,Guidance for publishing a new Manifest V3 extension,/docs/extensions/develop/migrate/publish-mv3/,
x,,https://developers.chrome.com/en/docs/extensions/migrating/to-service-workers/,/en/docs/extensions/migrating/to-service-workers/,Migrate to a service worker,"A service worker enables extensions to run only when needed, saving resources.",/docs/extensions/develop/migrate/to-service-workers/,
x,,https://developers.chrome.com/en/docs/extensions/mv2/,/en/docs/extensions/mv2/,About Manifest V2,Documentation for Chrome extensions developers.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/a11y/,/en/docs/extensions/mv2/a11y/,Accessibility (a11y),How to make your Manifest V2 Chrome Extension accessible.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/architecture-overview/,/en/docs/extensions/mv2/architecture-overview/,Architecture overview,A high-level explanation of the software architecture of Chrome Extensions.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/background_migration/,/en/docs/extensions/mv2/background_migration/,Migrate to event-driven background scripts,"How to migrate a persistent background script to an event-based, non-persistent model to improve the performance of your Chrome Extension.",,
x,,https://developers.chrome.com/en/docs/extensions/mv2/background_pages/,/en/docs/extensions/mv2/background_pages/,Manage events with background scripts,How to respond to browser triggers (events) from a Chrome Extension background script.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/content_scripts/,/en/docs/extensions/mv2/content_scripts/,Content scripts,An explanation of content scripts and how to use them in your Chrome Extension.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/cross-origin-isolation/,/en/docs/extensions/mv2/cross-origin-isolation/,Cross-origin isolation,Overview of cross-origin isolation for extensions,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/declare_permissions/,/en/docs/extensions/mv2/declare_permissions/,Declare permissions,An overview of the valid values for the permissions property in manifest.json.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/desktop_notifications/,/en/docs/extensions/mv2/desktop_notifications/,Rich notifications with webKit,How to implement notifications in your Chrome Extension.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/devguide/,/en/docs/extensions/mv2/devguide/,Extension development overview,An overview of Chrome Extension capabilities and components.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/devtools/,/en/docs/extensions/mv2/devtools/,Extending DevTools,How to create a Chrome Extension that adds functionality to Chrome DevTools.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/external_extensions/,/en/docs/extensions/mv2/external_extensions/,Alternative extension distribution options,How to distribute Chrome Extensions outside of the Chrome Web Store.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/faq/,/en/docs/extensions/mv2/faq/,Frequently asked questions,Frequently asked questions about Chrome Extensions.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/getstarted/,/en/docs/extensions/mv2/getstarted/,Getting started,Step-by-step instructions on how to create a Chrome Extension.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/hosting/,/en/docs/extensions/mv2/hosting/,Chrome Web Store,How to host your extension in the Chrome Web Store and update an extension that's hosted in the Chrome Web Store.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/hosting_changes/,/en/docs/extensions/mv2/hosting_changes/,Chrome 33 Hosting Changes,Details about the hosting changes for Chrome Extensions that started in version 33 of Chrome.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/i18n-messages/,/en/docs/extensions/mv2/i18n-messages/,Localization message formats,Reference documentation about the format of the messages.json file for Chrome Extensions.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/inline_faq/,/en/docs/extensions/mv2/inline_faq/,Inline-installation deprecation migration FAQ,Frequently asked questions about the deprecation of inline installations for Chrome Extensions.,,
x,,https://developers.chrome.com/en/docs/extensions/mv2/linux_hosting/,/en/docs/extensions/mv2/linux_hosting/,Installing extensions on Linux,"How to package, host, and update crx files from a personal server.",,
x,,https://developers.chrome.com/en/docs/extensions/mv2/manifest/,/en/docs/extensions/mv2/manifest/,Manifest file format,An overview of the manifest.json properties that you can use in your Chrome Extension.,,
