Triaged,Archive,Address,Current URL / Directory,Title,Description,New URL (update only if changed),Redirect ONLY URL
,,https://developers.chrome.com/en/docs/webstore/,/en/docs/webstore/,Chrome Web Store,An online marketplace where users can browse for extensions and themes.,,
,,https://developers.chrome.com/en/docs/webstore/about_webstore/,/en/docs/webstore/about_webstore/,What is the Chrome Web Store?,An explanation of the Chrome Web Store and why you might want to use it.,/docs/webstore/about,
,,https://developers.chrome.com/en/docs/webstore/account-deletion/,/en/docs/webstore/account-deletion/,Deleting Chrome Web Store developer accounts,How to delete a developer or group publisher account on the Chrome Web Store.,,
,,https://developers.chrome.com/en/docs/webstore/api_index/,/en/docs/webstore/api_index/,Chrome Web Store API Reference,,/docs/webstore/api/,
,,https://developers.chrome.com/en/docs/webstore/best_listing/,/en/docs/webstore/best_listing/,Creating a great listing page,"Best practices on how to make a high-quality, engaging listing page for your item in the Chrome Web Store.",/en/docs/webstore/best-listing/,
,,https://developers.chrome.com/en/docs/webstore/best_practices/,/en/docs/webstore/best_practices/,Best Practices,How to create a high-quality extension and Chrome Web store listing.,/en/docs/webstore/best-practices/,
,,https://developers.chrome.com/en/docs/webstore/branding/,/en/docs/webstore/branding/,Branding Guidelines,Guidelines for use of Google trademarks.,,
,,https://developers.chrome.com/en/docs/webstore/check-review/,/en/docs/webstore/check-review/,Check on your review status,How to check the review status of your Chrome Web Store item.,,
,,https://developers.chrome.com/en/docs/webstore/cws-dashboard-distribution/,/en/docs/webstore/cws-dashboard-distribution/,Prepare to publish: set up payment and distribution,How to choose which countries will list your item and who will see it in the Chrome Web Store.,,
,,https://developers.chrome.com/en/docs/webstore/cws-dashboard-listing/,/en/docs/webstore/cws-dashboard-listing/,Complete your listing information,How to add listing information for your Chrome Web Store item.,,
,,https://developers.chrome.com/en/docs/webstore/cws-dashboard-privacy/,/en/docs/webstore/cws-dashboard-privacy/,Fill out the privacy fields,Use the privacy practices tab to help the Chrome Web Store team review your extension as quickly as possible.,,
